Filename,Contact_Angle_Canvas_Degrees,b_pixels,Relative_Approximation_Percent,Drop_Volume_mm3,Drop_Surface_mm2,Contact_Surface_mm2,c_m2
C_3.2_coat6b.JPG,132.711,96,35,0.429,2.380,0.451,5.365E5
C_3.2_coat5b.JPG,126.337,89,16,0.351,2.050,0.444,2.875E5
C_3.2_coat6a.JPG,133.681,86,20,0.328,2.010,0.344,3.595E5
C_3.2_coat5a.JPG,114.536,82,21,0.238,1.520,0.469,5.225E5
C_3.1_coat6a.JPG,131.620,75,25,0.211,1.490,0.280,6.085E5
C_3.2_coat6b.JPG,129.062,84,17,0.300,1.870,0.371,3.355E5
C_3.1_coat5.JPG,132.439,77,28,0.228,1.570,0.289,6.41E5
C_1.5_2_coat6.JPG,131.288,75,24,0.212,1.490,0.281,5.84E5
C_1.5_1_coat6.JPG,119.603,88,36,0.294,1.780,0.496,7.515E5
C_1.5_1_coat5b.JPG,116.789,80,21,0.227,1.499,0.431,5.315E5
C_1.5_1_coat5a.JPG,112.088,84,34,0.234,1.500,0.501,8.665E5